-0.461,0.000
-0.453,0.000
-0.446,0.000
-0.439,0.000
-0.432,0.000
-0.424,0.000
-0.417,0.000
-0.410,0.000
-0.403,0.000
-0.396,0.000
-0.388,0.001
-0.381,0.002
-0.374,0.003
-0.367,0.006
-0.360,0.011
-0.352,0.018
-0.345,0.029
-0.338,0.043
-0.331,0.061
-0.323,0.082
-0.316,0.105
-0.309,0.130
-0.302,0.155
-0.295,0.181
-0.287,0.207
-0.280,0.234
-0.273,0.261
-0.266,0.290
-0.259,0.323
-0.251,0.360
-0.244,0.404
-0.237,0.455
-0.230,0.516
-0.222,0.590
-0.215,0.676
-0.208,0.764
-0.201,0.839
-0.194,0.893
-0.186,0.928
-0.179,0.949
-0.172,0.962
-0.165,0.971
-0.158,0.977
-0.150,0.982
-0.143,0.985
-0.136,0.988
-0.129,0.989
-0.121,0.991
-0.114,0.991
-0.107,0.992
-0.100,0.992
-0.093,0.993
-0.085,0.993
-0.078,0.993
-0.071,0.993
-0.064,0.994
-0.057,0.994
-0.049,0.994
-0.042,0.994
-0.035,0.994
-0.028,0.995
-0.020,0.995
-0.013,0.995
-0.006,0.996
0.001,0.996
0.008,0.996
0.016,0.997
0.023,0.997
0.030,0.997
0.037,0.998
0.044,0.998
0.052,0.998
0.059,0.999
0.066,0.999
0.073,0.999
0.081,0.999
0.088,0.999
0.095,0.999
0.102,1.000
0.109,1.000
0.117,1.000
0.124,1.000
0.131,1.000
0.138,1.000
0.146,1.000
0.153,1.000
0.160,1.000
0.167,1.000
0.174,1.000
0.182,1.000
0.189,1.000
0.196,1.000
0.203,1.000
0.210,1.000
0.218,1.000
0.225,1.000
0.232,1.000
0.239,1.000
0.247,1.000
0.254,1.000
